...1,state,total_liabilities,revenue,lib_rev_ratio,population,per_capita
1,Alabama,13679635000,30108701000,45.4341587171097,4921532,2779.54811631825
2,Alaska,14129014000,9104519000,155.186825355628,731158,19324.1597575353
3,Arizona,24362565000,48198360000,50.5464605019756,7421401,3282.74472704008
4,Arkansas,13143393000,25838329000,50.8678134719935,3030522,4337.00629792491
5,California,408305319000,386615995000,105.610043112676,39368078,10371.482168878
6,Colorado,28766869000,41175254000,69.864460338241,5807719,4953.21295675634
7,Connecticut,97821884000,35717659000,273.875407120047,3557006,27501.1861098913
8,Delaware,15909284000,10496375000,151.569317978826,986809,16121.9486243032
9,District of Columbia,17091665000,16397733000,104.231877662601,712816,23977.6674485421
10,Florida,72860317000,105839544000,68.8403542252601,21733312,3352.47186438956
11,Georgia,42898593000,65986964000,65.0107087818133,10710017,4005.46451046716
12,Hawaii,28421578000,14507982000,195.903041511907,1407006,20200.0403694085
13,Idaho,4075441000,11883210000,34.2957921302409,1826913,2230.78000977605
14,Illinois,263404811000,91181741000,288.878900656218,12587530,20925.8536821759
15,Indiana,19776175000,42536473000,46.492277345138604,6754953,2927.6554551897
16,Iowa,9758958000,26729140000,36.5105573916707,3163561,3084.80158909533
17,Kansas,9981002000,17602156000,56.7032924830345,2913805,3425.41865361615
18,Kentucky,41600354000,33658968000,123.593670489244,4477251,9291.49471405557
19,Louisiana,31993734000,36341565000,88.036203173969,4645318,6887.30760735864
20,Maine,8836880000,10625590000,83.1660171341074,1350141,6545.15343212302
21,Maryland,65583150000,50630119000,129.533865010272,6055802,10829.8042109039
22,Massachusetts,113588290000,76583475000,148.319581998597,6893574,16477.416504124
23,Michigan,35977177000,88274088000,40.7562148928687,9966555,3609.79064481157
24,Minnesota,23927324000,49990315000,47.863919241157,5657342,4229.4285903168
25,Mississippi,13060607000,20501316000,63.7061884222457,2966786,4402.27471748889
26,Missouri,19395710,32418542,59.8290632564537,6151548,3.15298035551377
27,Montana,5140282000,8213225000,62.5854277704556,1080577,4756.97891034142
28,Nebraska,3728215000,11108805000,33.5609005649123,1937552,1924.18835726731
29,Nevada,10676834000,16771174000,63.6618163999729,3138259,3402.15195750255
30,New Hampshire,6048361000,8682854000,69.6586744404547,1366275,4426.89868437906
31,New Jersey,213903087870,73616040355,290.565869664398,8882371,24081.7556337154
32,New Mexico,14617951000,23558395000,62.0498595086804,2106319,6940.04611837048
33,New York,188872000000,189989000000,99.4120712251762,19336776,9767.50209031743
34,North Carolina,29040557000,59639395000,48.6935808118107,10600823,2739.46249267628
35,North Dakota,7875818413,10137156850,77.6925772140933,765309,10291.0306987112
36,Ohio,55081480000,79125001000,69.6132439859306,11693217,4710.54971441991
37,Oklahoma,7276923000,23510595000,30.9516751915466,3980783,1828.01298136573
38,Oregon,24144226000,35294208000,68.4084652076624,4241507,5692.36971670682
39,Pennsylvania,79810308000,109336712000,72.9949772039971,12783254,6243.34836810721
40,Rhode Island,9830412000,10232146000,96.0738050453932,1057125,9299.19545938276
41,South Carolina,15642105000,31800560000,49.1881432276664,5218040,2997.69741128853
42,South Dakota,2421365000,5001397000,48.4137731917702,892717,2712.35453116721
43,Tennessee,9697381000,39355553000,24.6404389235745,6886834,1408.10436261423
44,Texas,250250365000,199988664000,125.132274997347,29360759,8523.29345436881
45,Utah,8052895000,17241722000,46.7058626742735,3249879,2477.90610050405
46,Vermont,7263223731,7162262953,101.409621214168,623347,11651.9751133799
47,Virginia,26563639000,58156929000,45.6757938508067,8590563,3092.18836995899
48,Washington,84090857000,72609544000,115.812402017013,7693612,10929.9581263001
49,West Virginia,13162213000,14506334000,90.7342475362831,1784787,7374.66879801343
50,Wisconsin,28548691000,44293015000,64.4541605487908,5832655,4894.6304898884
51,Wyoming,10270669870,4701674995,218.447040276547,582328,17637.2591906967
